Time,r6in.8xlarge
2024-05-22T00:00:00Z,17.71580935
2024-05-22T01:00:00Z,17.71580892
2024-05-22T02:00:00Z,17.88332967
2024-05-22T03:00:00Z,17.88332967
2024-05-22T04:00:00Z,17.86913494
2024-05-22T05:00:00Z,17.88332967
2024-05-22T06:00:00Z,17.88332967
2024-05-22T07:00:00Z,17.88332967
2024-05-22T08:00:00Z,17.88332967
2024-05-22T09:00:00Z,17.88332967
2024-05-22T10:00:00Z,17.88332967
2024-05-22T11:00:00Z,17.88332967
2024-05-22T12:00:00Z,17.88334481
2024-05-22T13:00:00Z,17.88332967
2024-05-22T14:00:00Z,17.88312182
2024-05-22T15:00:00Z,17.68971066
2024-05-22T16:00:00Z,17.68971066
2024-05-22T17:00:00Z,17.68971066
2024-05-22T18:00:00Z,17.68976396
2024-05-22T19:00:00Z,17.68971066
2024-05-22T20:00:00Z,17.6897259
2024-05-22T21:00:00Z,17.69286412
2024-05-22T22:00:00Z,17.68971066
2024-05-22T23:00:00Z,17.68971066
2024-05-23T00:00:00Z,17.71580935
2024-05-23T01:00:00Z,17.71580892
2024-05-23T02:00:00Z,17.88332967
2024-05-23T03:00:00Z,17.88332967
2024-05-23T04:00:00Z,17.88332967
2024-05-23T05:00:00Z,17.88336139
2024-05-23T06:00:00Z,17.88332967
2024-05-23T07:00:00Z,17.88332967
2024-05-23T08:00:00Z,17.88332967
2024-05-23T09:00:00Z,17.88332967
2024-05-23T10:00:00Z,17.88332967
2024-05-23T11:00:00Z,17.88332967
2024-05-23T12:00:00Z,17.88332967
2024-05-23T13:00:00Z,17.88334509
2024-05-23T14:00:00Z,17.88290362
2024-05-23T15:00:00Z,17.68971066
2024-05-23T16:00:00Z,17.68971066
2024-05-23T17:00:00Z,17.68971066
2024-05-23T18:00:00Z,17.6897683
2024-05-23T19:00:00Z,17.68971066
2024-05-23T20:00:00Z,17.68971066
2024-05-23T21:00:00Z,17.68973119
2024-05-23T22:00:00Z,17.68971066
2024-05-23T23:00:00Z,17.68971066
2024-05-24T00:00:00Z,17.71580937
2024-05-24T01:00:00Z,17.71580892
2024-05-24T02:00:00Z,17.88332967
2024-05-24T03:00:00Z,17.88332967
2024-05-24T04:00:00Z,17.88332967
2024-05-24T05:00:00Z,17.88334622
2024-05-24T06:00:00Z,17.88332967
2024-05-24T07:00:00Z,17.88332967
2024-05-24T08:00:00Z,17.88332967
2024-05-24T09:00:00Z,17.88332967
2024-05-24T10:00:00Z,17.88332967
2024-05-24T11:00:00Z,1E-10
2024-05-24T12:00:00Z,0
2024-05-24T13:00:00Z,0
2024-05-24T14:00:00Z,0
2024-05-24T15:00:00Z,0
2024-05-24T16:00:00Z,0
2024-05-24T17:00:00Z,0
2024-05-24T18:00:00Z,0
2024-05-24T19:00:00Z,0
2024-05-24T20:00:00Z,0
2024-05-24T21:00:00Z,0
2024-05-24T22:00:00Z,0
2024-05-24T23:00:00Z,0
2024-05-25T00:00:00Z,0
2024-05-25T01:00:00Z,0
2024-05-25T02:00:00Z,0
2024-05-25T03:00:00Z,0
2024-05-25T04:00:00Z,0
2024-05-25T05:00:00Z,0
2024-05-25T06:00:00Z,0
2024-05-25T07:00:00Z,0
2024-05-25T08:00:00Z,0
2024-05-25T09:00:00Z,0
2024-05-25T10:00:00Z,0
2024-05-25T11:00:00Z,0
2024-05-25T12:00:00Z,0
2024-05-25T13:00:00Z,0
2024-05-25T14:00:00Z,0
2024-05-25T15:00:00Z,0
2024-05-25T16:00:00Z,0
2024-05-25T17:00:00Z,0
2024-05-25T18:00:00Z,0
2024-05-25T19:00:00Z,0
2024-05-25T20:00:00Z,0
2024-05-25T21:00:00Z,0
2024-05-25T22:00:00Z,0
2024-05-25T23:00:00Z,0
2024-05-26T00:00:00Z,0
2024-05-26T01:00:00Z,0
2024-05-26T02:00:00Z,0
2024-05-26T03:00:00Z,0
2024-05-26T04:00:00Z,0
2024-05-26T05:00:00Z,0
2024-05-26T06:00:00Z,0
2024-05-26T07:00:00Z,0
2024-05-26T08:00:00Z,0
2024-05-26T09:00:00Z,0
2024-05-26T10:00:00Z,0
2024-05-26T11:00:00Z,0
2024-05-26T12:00:00Z,0
2024-05-26T13:00:00Z,0
2024-05-26T14:00:00Z,0
2024-05-26T15:00:00Z,0
2024-05-26T16:00:00Z,0
2024-05-26T17:00:00Z,0
2024-05-26T18:00:00Z,0
2024-05-26T19:00:00Z,0
2024-05-26T20:00:00Z,0
2024-05-26T21:00:00Z,0
2024-05-26T22:00:00Z,0
2024-05-26T23:00:00Z,17.68971066
2024-05-27T00:00:00Z,17.71581362
2024-05-27T01:00:00Z,17.71580892
2024-05-27T02:00:00Z,17.88332967
2024-05-27T03:00:00Z,17.88332967
2024-05-27T04:00:00Z,17.88332967
2024-05-27T05:00:00Z,17.88332967
2024-05-27T06:00:00Z,17.88334692
2024-05-27T07:00:00Z,17.88332967
2024-05-27T08:00:00Z,17.88333376
2024-05-27T09:00:00Z,17.88332967
2024-05-27T10:00:00Z,17.88332967
2024-05-27T11:00:00Z,17.88332967
2024-05-27T12:00:00Z,17.88332967
2024-05-27T13:00:00Z,17.88332967
2024-05-27T14:00:00Z,17.88333823
2024-05-27T15:00:00Z,17.68975723
2024-05-27T16:00:00Z,17.68971066
2024-05-27T17:00:00Z,17.68971892
2024-05-27T18:00:00Z,17.68976338
2024-05-27T19:00:00Z,17.68971066
2024-05-27T20:00:00Z,17.6897187
2024-05-27T21:00:00Z,17.68971066
2024-05-27T22:00:00Z,17.68973151
2024-05-27T23:00:00Z,17.68971066
2024-05-28T00:00:00Z,17.715811
2024-05-28T01:00:00Z,17.71580892
2024-05-28T02:00:00Z,17.88332967
2024-05-28T03:00:00Z,18.00492853
2024-05-28T04:00:00Z,18.18426582
